,Unnamed: 0,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
0,0,2000-07,4121196.0,1929467.0,2191729.0,15.270967741935486,11.867741935483869,18.67419354838709,4.248387096774194,1.5774193548387094,2.7000000000000006,1.470967741935484,2000-07,4121196.0,1929467.0,2191729.0,15.27096774193549,11.86774193548387,18.67419354838709,4.248387096774194,1.577419354838709,2.700000000000001,1.470967741935484,2000-01,2563382,1278929,1284453,4.867741935483871,2.6064516129032262,6.867741935483872,1.8677419354838711,1.6580645161290322,1.5193548387096774,0.4580645161290321
1,1,2000-08,4096727.0,2150204.0,1946523.0,17.37096774193548,12.299999999999995,21.816129032258065,7.354838709677419,0.6129032258064516,1.6290322580645156,0.9096774193548388,2000-08,4096727.0,2150204.0,1946523.0,17.37096774193548,12.3,21.81612903225806,7.354838709677419,0.6129032258064516,1.629032258064516,0.9096774193548388,2000-02,2641094,1289485,1351609,6.055172413793101,3.337931034482758,8.455172413793102,3.6862068965517234,2.7,3.33103448275862,1.0413793103448277
2,2,2001-07,4278757.0,2011002.0,2267755.0,18.416129032258063,13.816129032258068,22.91935483870968,7.167741935483873,0.8129032258064517,1.3129032258064512,0.6677419354838708,2001-07,4278757.0,2011002.0,2267755.0,18.41612903225806,13.81612903225807,22.91935483870968,7.167741935483873,0.8129032258064517,1.312903225806451,0.6677419354838708,2000-03,3162563,1603733,1558830,6.896774193548387,4.074193548387098,9.532258064516132,2.974193548387097,1.8096774193548384,2.5741935483870977,0.9548387096774192
3,3,2001-08,4246834.0,2235051.0,2011783.0,18.51935483870968,14.154838709677424,22.92903225806452,5.667741935483871,1.7677419354838708,4.86451612903226,2.4096774193548383,2001-08,4246834.0,2235051.0,2011783.0,18.51935483870968,14.15483870967742,22.92903225806452,5.667741935483871,1.767741935483871,4.86451612903226,2.409677419354838,2000-04,3326762,1628248,1698514,9.586666666666666,5.596666666666668,13.723333333333333,4.976666666666666,1.3033333333333332,1.4666666666666663,0.6699999999999999
4,4,2002-07,4289281.0,2034750.0,2254531.0,17.258064516129032,13.306451612903228,21.32258064516129,5.612903225806451,1.825806451612904,3.070967741935484,1.6903225806451612,2002-07,4289281.0,2034750.0,2254531.0,17.25806451612903,13.30645161290323,21.32258064516129,5.612903225806451,1.825806451612904,3.070967741935484,1.690322580645161,2000-05,3706883,1845433,1861450,14.838709677419356,10.296774193548393,19.46129032258064,7.496774193548387,1.919354838709677,2.725806451612903,1.1064516129032258
5,5,2002-08,4276395.0,2238757.0,2037638.0,18.75483870967741,14.483870967741934,22.70967741935484,5.080645161290323,1.190322580645161,3.338709677419355,1.2741935483870968,2002-08,4276395.0,2238757.0,2037638.0,18.75483870967741,14.48387096774193,22.70967741935484,5.080645161290323,1.190322580645161,3.338709677419355,1.274193548387097,2000-06,3661177,1829019,1832158,15.760000000000002,11.356666666666667,19.94666666666667,7.626666666666665,0.9733333333333332,1.0733333333333333,0.5000000000000002
6,6,2003-07,4244484.0,2010027.0,2234457.0,18.68064516129032,13.419354838709676,23.429032258064527,7.754838709677419,1.035483870967742,1.3806451612903223,0.6516129032258065,2003-07,4244484.0,2010027.0,2234457.0,18.68064516129032,13.41935483870968,23.42903225806453,7.754838709677419,1.035483870967742,1.380645161290322,0.6516129032258065,2000-07,4121196,1929467,2191729,15.270967741935486,11.867741935483869,18.67419354838709,4.248387096774194,1.5774193548387094,2.7000000000000006,1.470967741935484
7,7,2003-08,4194993.0,2221070.0,1973923.0,19.23870967741936,14.274193548387093,24.28064516129032,7.174193548387094,0.3645161290322581,0.4935483870967742,0.2870967741935484,2003-08,4194993.0,2221070.0,1973923.0,19.23870967741936,14.27419354838709,24.28064516129032,7.174193548387094,0.3645161290322581,0.4935483870967742,0.2870967741935484,2000-08,4096727,2150204,1946523,17.37096774193548,12.299999999999995,21.816129032258065,7.354838709677419,0.6129032258064516,1.6290322580645156,0.9096774193548388
8,8,2004-07,4565684.0,2137750.0,2427934.0,17.103225806451615,12.841935483870964,21.31612903225807,6.85483870967742,1.3354838709677417,3.07741935483871,1.4516129032258065,2004-07,4565684.0,2137750.0,2427934.0,17.10322580645161,12.84193548387096,21.31612903225807,6.85483870967742,1.335483870967742,3.07741935483871,1.451612903225806,2000-09,3897872,1943139,1954733,16.023333333333333,12.71,19.73333333333333,3.78,2.1633333333333336,3.000000000000001,1.2966666666666664
9,9,2004-08,4483625.0,2350963.0,2132662.0,19.0741935483871,15.119354838709675,23.46129032258065,5.974193548387098,2.0903225806451613,6.583870967741937,3.045161290322581,2004-08,4483625.0,2350963.0,2132662.0,19.0741935483871,15.11935483870968,23.46129032258065,5.974193548387098,2.090322580645161,6.583870967741937,3.045161290322581,2000-10,3803796,1938661,1865135,11.638709677419357,8.748387096774193,14.574193548387097,2.5967741935483866,3.2225806451612904,4.516129032258063,1.461290322580645
